task_head,model,accuracy,precision,recall,f1,roc_auc,rmse,mae,r2
employment,logistic_regression,0.75,0.0,0.0,0.0,0.47816296296296296,,,
employment,decision_tree,0.71,0.25,0.08,0.12121212121212122,0.495162962962963,,,
employment,random_forest,0.75,0.5,0.006666666666666667,0.013157894736842105,0.45786666666666664,,,
employment,gradient_boosting,0.7316666666666667,0.21052631578947367,0.02666666666666667,0.047337278106508875,0.4885037037037038,,,
skills,logistic_regression,0.826530612244898,0.25,0.0425531914893617,0.07272727272727272,0.6800758032560944,,,
skills,decision_tree,0.7721088435374149,0.16666666666666666,0.10638297872340426,0.12987012987012986,0.5007752605736928,,,
skills,random_forest,0.8231292517006803,0.3684210526315789,0.14893617021276595,0.21212121212121213,0.6465242484279439,,,
skills,gradient_boosting,0.7959183673469388,0.30303030303030304,0.2127659574468085,0.25,0.5987165130502197,,,
productivity,linear_regression,,,,,,0.9940227583187025,0.8632674120561784,-0.0016051596703099413
productivity,decision_tree,,,,,,0.38821880017257215,0.2378614774754993,0.8472233356434908
productivity,random_forest,,,,,,0.24199843867932005,0.09676290286266542,0.9406351977288593
productivity,gradient_boosting,,,,,,0.1532032870140194,0.10178109643095597,0.976207500756973
